Sample name,sample,site,type,15N,13C,N [%],C [%],C/N
A1-0-SS1 C,C,Archer,crab,7.424996269,-17.19541254,13.46235029,45.78700822,3.401115498
A1-0-SS1 G,G,Archer,crab,7.522315932,-17.37385379,13.67801852,45.71066465,3.341906913
A1-0-SS2 C,C,Archer,crab,7.48082354,-25.23161514,13.45902513,43.71205422,3.247787546
A1-0-SS2 G,G,Archer,crab,7.459256522,-25.41120529,13.30117563,43.04426201,3.236124626
A1-0-HF1 C,C,Archer,fish,7.793442321,-17.04448118,14.09916697,45.34244991,3.215966588
A1-0-HF1 G,G,Archer,fish,7.714169649,-17.14052963,14.35052,45.68176533,3.183282929
A1-0-HF2 C,C,Archer,fish,8.009151412,-17.85879515,14.69766479,47.11896367,3.205880957
A1-0-HF2 G,G,Archer,fish,8.04335031,-17.63289134,14.44900714,45.65639,3.159828876
A1-0-RY C,C,Archer,mangrove,-0.668100446,-30.04255899,0.806838318,46.1503972,57.19906477
A1-0-RY G,G,Archer,mangrove,-0.855750418,-30.2096376,0.841647903,46.87548928,55.69489226
A1-0-SP C,C,Archer,saltmarsh,0.576466176,-16.18677921,0.108997148,40.90559392,375.2904967
A1-0-SP G,G,Archer,saltmarsh,0.769962203,-16.23074481,0.10253352,40.81631304,398.0777527
A1-U4-SAR C,C,Archer,saltmarsh,2.65311436,-15.74042801,0.390122705,32.69299072,83.80181486
A1-U4-SAR G,G,Archer,saltmarsh,2.507931953,-15.91302392,0.438729626,32.43556644,73.93065003
A1-0-21 C,C,Archer,seagrass,-1.150119008,-15.59516513,1.353584995,37.82016638,27.94073997
A1-0-21 G,G,Archer,seagrass,-1.074121335,-15.37924113,1.463899708,37.98920312,25.950687
A1-1 C,C,Archer,seagrass,-1.453241892,-14.97616642,1.848418969,37.02252173,20.02929117
A1-1 G,G,Archer,seagrass,-1.422108394,-14.65046599,1.808451923,37.515345,20.74445249
A1-3-1 C,C,Archer,seagrass,-1.462799757,-15.12879079,1.98947451,38.41188142,19.30755143
A1-3-1 G,G,Archer,seagrass,-1.312886049,-15.15710085,1.884801639,38.17581967,20.25455564
A1_U6 (1) C,C,Archer,sedimentMG,2.11424446,-28.92466301,0.01985804,0.780262857,39.29203774
A1_U6 (1) G,G,Archer,sedimentMG,2.094312867,-28.9085274,0.020348026,0.764202376,37.55658627
A1_U6 (2) C,C,Archer,sedimentMG,1.965737322,-27.92984359,0.035618478,0.773433538,21.71439018
A1_U6 (2) G,G,Archer,sedimentMG,2.106004687,-27.70323973,0.03573008,0.742993387,20.79461859
A1_U6 (3) C,C,Archer,sedimentMG,2.041839795,-27.75619421,0.03249245,1.107653304,34.08955933
A1_U6 (3) G,G,Archer,sedimentMG,1.827923801,-27.64990129,0.034480399,0.983379106,28.519946
A1_D2 (1) C,C,Archer,sedimentSG,3.335967056,-10.46095781,0.031175683,0.805418518,25.83483148
A1_D2 (1) G,G,Archer,sedimentSG,3.967772892,-9.996063959,0.022757723,0.861391218,37.85050127
A1_D2 (2) C,C,Archer,sedimentSG,3.358533231,-7.34870383,0.01301691,0.64842725,49.8142242
A1_D2 (2) G,G,Archer,sedimentSG,3.394187742,-7.836345674,0.013746166,0.615474636,44.77427512
A1_D2 (3) C,C,Archer,sedimentSG,4.826012349,-6.628965185,0.020023488,1.577728032,78.79386712
A1_D2 (3) G,G,Archer,sedimentSG,4.722916425,-7.836480076,0.015305485,1.33027063,86.91463588
A1-0-553 C,C,Archer,sedimentSG,7.344408255,-20.30589202,13.42265207,44.98543103,3.35145624
A1-0-553 G,G,Archer,sedimentSG,7.329900624,-20.10982689,13.08738353,44.55054622,3.404083491
SMB19-002G C,C,Cockburn,seagrass,3.010477539,-12.05061398,1.554858801,40.93254739,26.32557205
SMB19-002G G,G,Cockburn,seagrass,3.038561944,-12.23255999,1.553043876,40.6452223,26.17132905
SMB19-002L C,C,Cockburn,seagrass,2.814792209,-11.25888663,1.267998016,41.40571944,32.65440397
SMB19-002L G,G,Cockburn,seagrass,2.788313356,-11.28446279,1.275508772,41.09501828,32.21853051
SMB19-008G C,C,Cockburn,seagrass,0.916261044,-7.989355816,1.766273353,42.92406057,24.30204843
SMB19-008G G,G,Cockburn,seagrass,0.838928775,-7.944332587,1.751877395,42.58098123,24.30591396
SMB19-008L C,C,Cockburn,seagrass,0.765044347,-7.98899044,1.706530829,42.32265954,24.80040725
SMB19-008L G,G,Cockburn,seagrass,0.917956692,-7.928135408,1.779800952,42.680812,23.9806659
E2-2-1_TH C,C,Embly,seagrass,1.58398085,-12.12995269,2.641213602,38.45665096,14.56021994
E2-2-1_TH G,G,Embly,seagrass,1.704563452,-12.17215678,2.755837443,38.52902667,13.98087785
E2-2-2_TH C,C,Embly,seagrass,1.847462314,-12.1843924,2.854119318,39.55801155,13.8599712
E2-2-2_TH G,G,Embly,seagrass,1.873619416,-12.19739909,2.844313745,39.11835797,13.75317967
E1-U6 (1) C,C,Embly,sedimentMG,0.612688158,-28.72406688,0.085706305,2.259778332,26.36653562
E1-U6 (1) G,G,Embly,sedimentMG,0.605114234,-28.71024541,0.089597585,2.289566759,25.55388931
E1-U6 (2) C,C,Embly,sedimentMG,0.739763943,-27.33521298,0.072968555,1.872080919,25.65599535
E1-U6 (2) G,G,Embly,sedimentMG,0.846711589,-27.52643481,0.067457841,1.869237909,27.70972045
E1-U6 (3) C,C,Embly,sedimentMG,0.549470373,-28.8966789,0.105158385,2.489337049,23.67226405
E1-U6 (3) G,G,Embly,sedimentMG,0.494928296,-28.83592371,0.112583277,2.883630462,25.61331082
E2-D2.2 (1) C,C,Embly,sedimentSG,NA,-8.923168662,NA,0.795614664,NA
E2-D2.2 (1) G,G,Embly,sedimentSG,NA,-8.52832637,NA,0.831279551,NA
E2-D2.2 (3) C,C,Embly,sedimentSG,NA,-10.0338928,NA,1.017533104,NA
E2-D2.2 (3) G,G,Embly,sedimentSG,NA,-9.551430221,NA,1.086551925,NA
S1-SS 1 C,C,Skardon,crab,6.785855188,-25.55527697,13.43386047,42.26285,3.145994415
S1-SS 1 G,G,Skardon,crab,6.800515965,-25.53648267,13.27142337,42.01853525,3.166091087
S1-SS 2 C,C,Skardon,crab,7.009465455,-23.85448046,11.88924908,38.20022051,3.213005316
S1-SS 2 G,G,Skardon,crab,6.985095037,-23.8439871,11.608706,37.4954499,3.229942245
S1-0-HF1 C,C,Skardon,fish,9.029015121,-20.51340911,14.46126065,45.82071687,3.168514695
S1-0-HF1 G,G,Skardon,fish,9.065110312,-20.42461259,14.3303255,45.46283188,3.172491223
S1-0-HF2 C,C,Skardon,fish,8.915162047,-19.37786202,14.27500182,45.48383382,3.186257655
S1-0-HF2 G,G,Skardon,fish,8.91577454,-19.42986125,13.79426703,44.11827477,3.198305112
S1-U6-RY C,C,Skardon,mangrove,0.616388171,-31.80643549,1.079617647,43.29550312,40.10262637
S1-U6-RY G,G,Skardon,mangrove,0.53087067,-31.88170413,0.878657509,44.55037436,50.70277542
S1-U3-SP C,C,Skardon,saltmarsh,2.403011475,-16.31624414,0.23000391,41.14612864,178.8931702
S1-U3-SP G,G,Skardon,saltmarsh,2.530759113,-16.15603204,0.227721101,41.19024514,180.8802301
S1-U5.3-SAR C,C,Skardon,saltmarsh,3.015237258,-15.59956591,0.391346789,31.41733193,80.28002991
S1-U5.3-SAR G,G,Skardon,saltmarsh,3.197325453,-15.50553566,0.435696913,30.58676258,70.20192631
S1-0 C,C,Skardon,seagrass,0.145718091,-16.59415381,2.256065541,37.6580995,16.69193506
S1-0 G,G,Skardon,seagrass,0.163925761,-16.7097245,2.245102868,37.64147735,16.76603682
S1-0-5 C,C,Skardon,seagrass,0.695729943,-16.64981476,2.933134135,38.77506568,13.21967012
S1-0-5 G,G,Skardon,seagrass,0.750980149,-16.66101863,2.913977633,38.50797856,13.21491906
S1-U6 (1) C,C,Skardon,sedimentMG,0.991797949,-28.84339483,0.230320426,8.003896225,34.75113504
S1-U6 (1) G,G,Skardon,sedimentMG,0.843444403,-28.91546087,0.240187209,8.704745234,36.24150207
S1-U6 (2) C,C,Skardon,sedimentMG,0.977791916,-29.06458855,0.267722783,7.97832871,29.80070889
S1-U6 (2) G,G,Skardon,sedimentMG,0.924586079,-29.10649353,0.297172043,9.004376989,30.30021565
S1-U6 (3) C,C,Skardon,sedimentMG,1.414722451,-29.27005036,0.34650506,9.287809419,26.80425334
S1-U6 (3) G,G,Skardon,sedimentMG,1.440842195,-29.38028228,0.318769279,9.254435663,29.03176774
S2-D2 (1) C,C,Skardon,sedimentSG,NA,-3.171734521,NA,2.695042338,NA
S2-D2 (1) G,G,Skardon,sedimentSG,NA,-3.015150819,NA,2.825958851,NA
S2-D3 (2) C,C,Skardon,sedimentSG,NA,-3.217023571,NA,1.608020137,NA
S2-D3 (2) G,G,Skardon,sedimentSG,NA,-3.145988436,NA,1.438011542,NA
S2-U1_SG (1) C,C,Skardon,sedimentSG,1.930323197,-14.62113547,0.052431876,3.679392924,70.17473364
S2-U1_SG (1) G,G,Skardon,sedimentSG,2.33141923,-13.76878474,0.020053229,3.557946833,177.4251324
S2-U1 C,C,Skardon,sedimentSG,1.248348729,-17.06400566,2.731157491,39.36149345,14.41201893
S2-U1 G,G,Skardon,sedimentSG,1.193767913,-17.32868314,2.832438123,39.23800098,13.8530832
W1-SS1 C,C,Watson,crab,10.36851053,-21.4984526,14.1056146,44.66625603,3.166558657
W1-SS1 G,G,Watson,crab,10.43946631,-21.43771289,14.35921593,44.91700283,3.128095786
W1-SS2 C,C,Watson,crab,7.265766243,-23.26274441,13.12456261,41.48136987,3.160590649
W1-SS2 G,G,Watson,crab,7.251604205,-23.16369779,13.26266078,41.56278,3.133819124
W2-0-BF1 C,C,Watson,fish,9.085647514,-25.99640389,14.83966729,46.20125789,3.113362111
W2-0-BF1 G,G,Watson,fish,9.102072646,-25.94340179,14.74856708,46.08663506,3.124821198
W2-0-BF2 C,C,Watson,fish,8.279556363,-28.49501138,15.03418302,46.96683019,3.124002823
W2-0-BF2 G,G,Watson,fish,8.301143833,-28.60453975,14.8406721,46.64079964,3.142768691
W1-U6-RY C,C,Watson,mangrove,2.293466424,-30.80951512,0.855419263,47.30900623,55.30505128
W1-U6-RY G,G,Watson,mangrove,2.048220433,-30.96505615,0.854538164,48.29656966,56.51774453
W1-U3-SP C,C,Watson,saltmarsh,-2.398517646,-15.55637271,0.399151838,40.48064662,101.4166611
W1-U3-SP G,G,Watson,saltmarsh,-2.425331351,-15.61088642,0.345721591,39.86822292,115.3188692
W2-SG3 C,C,Watson,seagrass,2.000525639,-16.13269828,0.983540348,32.257914,32.79775362
W2-SG3 G,G,Watson,seagrass,2.206273793,-16.10685275,0.959421671,32.41983471,33.79101774
W2-U4 (1) C,C,Watson,sedimentMG,2.823780998,-24.51676373,0.220640069,2.533314529,11.48166124
W2-U4 (1) G,G,Watson,sedimentMG,2.925570614,-24.48469661,0.222366996,2.541515961,11.42937581
W2-U4 (2) C,C,Watson,sedimentMG,2.824794277,-23.60960395,0.206171227,2.69761257,13.08433097
W2-U4 (2) G,G,Watson,sedimentMG,2.759514672,-23.41559595,0.211535546,2.802743331,13.24951472
W2-U4 (3) C,C,Watson,sedimentMG,2.700203347,-21.34134963,0.077999215,1.030516976,13.21188907
W2-U4 (3) G,G,Watson,sedimentMG,2.660055126,-21.37635069,0.075987442,0.994967502,13.09384128
W1-553 C,C,Watson,sedimentMG,NA,-22.81139823,NA,44.01592402,NA
W1-553 G,G,Watson,sedimentMG,NA,-22.74784982,NA,42.89960938,NA
W2-D1 C,C,Watson,sedimentSG,2.661877216,-15.39560013,1.643488158,31.40993891,19.1117525
W2-D1 G,G,Watson,sedimentSG,2.615470541,-15.51125588,1.5156834,31.5502,20.81582473
W2-D2 (3) C,C,Watson,sedimentSG,4.495538766,-6.669505255,0.00717301,0.497068874,69.29711255
W2-D2 (3) G,G,Watson,sedimentSG,4.60721308,-6.682453857,0.007946545,0.45028367,56.66407877
W2-U2 C,C,Watson,sedimentSG,1.316536796,-16.14746677,0.693435317,27.80338292,40.0951354
W2-U2 G,G,Watson,sedimentSG,1.412039464,-16.28305715,0.677264654,28.19615385,41.63240126
